"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Legrand Gateway Gamil",NLG,,"Ground Floor AC",NLY,,"Rooms ACs",NLPC,,"Water Heater",NLPO,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1754003700,"2025/08/01 00:15:00",0.1113,458,,0.034,140,,0.0396,163,,0.0002,1,
1754005500,"2025/08/01 00:45:00",0.2552,1050,,0.1745,718,,0.0367,151,,0.0002,1,
1754007300,"2025/08/01 01:15:00",0.1094,450,,0.034,140,,0.0384,158,,0.0002,1,
1754009100,"2025/08/01 01:45:00",0.1132,466,,0.034,140,,0.0377,155,,0.0002,1,
1754010900,"2025/08/01 02:15:00",0.2508,1032,,0.1696,698,,0.0457,188,,0.0002,1,
1754012700,"2025/08/01 02:45:00",0.1076,443,,0.034,140,,0.0416,171,,0.0002,1,
1754014500,"2025/08/01 03:15:00",0.1101,453,,0.0338,139,,0.0459,189,,0.0002,1,
1754016300,"2025/08/01 03:45:00",0.2185,899,,0.1538,633,,0.036,148,,0.0002,1,
1754018100,"2025/08/01 04:15:00",0.1147,472,,0.034,140,,0.0505,208,,0.0002,1,
1754019900,"2025/08/01 04:45:00",0.1038,427,,0.0338,139,,0.0411,169,,0.0002,1,
1754021700,"2025/08/01 05:15:00",0.1927,793,,0.121,498,,0.0406,167,,0.0002,1,
1754023500,"2025/08/01 05:45:00",0.0984,405,,0.0347,143,,0.0326,134,,0.0002,1,
1754025300,"2025/08/01 06:15:00",0.1062,437,,0.0343,141,,0.0435,179,,0.0002,1,
1754027100,"2025/08/01 06:45:00",0.1004,413,,0.0345,142,,0.0367,151,,0.0002,1,
1754028900,"2025/08/01 07:15:00",0.1021,420,,0.0352,145,,0.0362,149,,0.0002,1,
1754030700,"2025/08/01 07:45:00",0.1159,477,,0.0347,143,,0.0518,213,,0.0002,1,
1754032500,"2025/08/01 08:15:00",0.1708,703,,0.1059,436,,0.0386,159,,0.0002,1,
1754034300,"2025/08/01 08:45:00",0.1132,466,,0.034,140,,0.0372,153,,0.0002,1,
1754036100,"2025/08/01 09:15:00",0.118,463,,0.0375,147,,0.0403,158,,0.0036,14,
1754037900,"2025/08/01 09:45:00",0.2808,1101,,0.1724,676,,0.0362,142,,0.0092,36,
1754039700,"2025/08/01 10:15:00",0.2565,1006,,0.1191,467,,0.0372,146,,0.0087,34,
1754041500,"2025/08/01 10:45:00",0.269,1055,,0.0829,325,,0.0431,169,,0.0087,34,
1754043300,"2025/08/01 11:15:00",0.2002,785,,0.065,255,,0.0469,184,,0.0084,33,
1754045100,"2025/08/01 11:45:00",0.3376,1324,,0.0388,152,,0.0492,193,,0.0084,33,
1754046900,"2025/08/01 12:15:00",0.2586,1014,,0.1456,571,,0.052,204,,0.0054,21,
1754048700,"2025/08/01 12:45:00",0.4924,1931,,0.1454,570,,0.0538,211,,0.0071,28,
1754050500,"2025/08/01 13:15:00",0.219,859,,0.0462,181,,0.0571,224,,0.0061,24,
1754052300,"2025/08/01 13:45:00",0.4011,1573,,0.1283,503,,0.2073,813,,0.0015,6,
1754054100,"2025/08/01 14:15:00",0.4307,1689,,0.1336,524,,0.1119,439,,0.0038,15,
1754055900,"2025/08/01 14:45:00",0.3718,1458,,0.1155,453,,0.1076,422,,0.0003,1,
1754057700,"2025/08/01 15:15:00",0.4049,1588,,0.0706,277,,0.0609,239,,0.0005,2,
1754059500,"2025/08/01 15:45:00",0.3376,1324,,0.1344,527,,0.0762,299,,0.0046,18,
1754061300,"2025/08/01 16:15:00",0.3545,1390,,0.1344,527,,0.1076,422,,0.0031,12,
1754063100,"2025/08/01 16:45:00",0.2244,880,,0.075,294,,0.0796,312,,0.0013,5,
