"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Rooms ACs",NLPC,,"Ground Floor AC",NLY,,"Water Heater",NLPO,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1764548100,"2025/12/01 00:15:00",0.0826,324,,0.0061,24,,0.0003,1,
1764549900,"2025/12/01 00:45:00",0.0949,372,,0.0061,24,,0.0003,1,
1764551700,"2025/12/01 01:15:00",0.0872,342,,0.0061,24,,0.0003,1,
1764553500,"2025/12/01 01:45:00",0.0829,325,,0.0064,25,,0.0003,1,
1764555300,"2025/12/01 02:15:00",0.0903,354,,0.0061,24,,0.0003,1,
1764557100,"2025/12/01 02:45:00",0.0857,336,,0.0061,24,,0.0003,1,
1764558900,"2025/12/01 03:15:00",0.1017,399,,0.0061,24,,0.0003,1,
1764560700,"2025/12/01 03:45:00",0.091,357,,0.0061,24,,0.0003,1,
1764562500,"2025/12/01 04:15:00",0.0857,336,,0.0061,24,,0.0003,1,
1764564300,"2025/12/01 04:45:00",0.0979,384,,0.0061,24,,0.0003,1,
1764566100,"2025/12/01 05:15:00",0.0857,336,,0.0059,23,,0.3198,1254,
1764567900,"2025/12/01 05:45:00",0.1074,421,,0.0059,23,,0.3019,1184,
1764569700,"2025/12/01 06:15:00",0.101,396,,0.0059,23,,0.0003,1,
1764571500,"2025/12/01 06:45:00",0.101,396,,0.0061,24,,0.0003,1,
1764573300,"2025/12/01 07:15:00",0.1028,403,,0.0061,24,,0.0003,1,
1764575100,"2025/12/01 07:45:00",0.0903,354,,0.2614,1025,,0.0003,1,
1764576900,"2025/12/01 08:15:00",0.0903,354,,0.2688,1054,,0.0003,1,
1764578700,"2025/12/01 08:45:00",0.0931,365,,0.1464,574,,0.0003,1,
1764580500,"2025/12/01 09:15:00",0.0857,336,,0.2145,841,,0.0003,1,
1764582300,"2025/12/01 09:45:00",0.1173,460,,0.2415,947,,0.0066,26,
1764584100,"2025/12/01 10:15:00",0.0676,265,,0.1262,495,,0.0069,27,
1764585900,"2025/12/01 10:45:00",0.075,294,,0.1334,523,,0.0102,40,
1764587700,"2025/12/01 11:15:00",0.0581,228,,0.1275,500,,0.0094,37,
1764589500,"2025/12/01 11:45:00",0.0558,219,,0.1683,660,,0.0089,35,
1764591300,"2025/12/01 12:15:00",0.0592,232,,0.1428,560,,0.0089,35,
1764593100,"2025/12/01 12:45:00",0.0462,181,,0.1079,423,,0.0087,34,
1764594900,"2025/12/01 13:15:00",0.0551,216,,0.1038,407,,0.0089,35,
1764596700,"2025/12/01 13:45:00",0.0622,244,,0.1107,434,,0.0041,16,
1764598500,"2025/12/01 14:15:00",0.0561,220,,0.1007,395,,0.0082,32,
1764600300,"2025/12/01 14:45:00",0.0609,239,,0.1084,425,,0.0003,1,
1764602100,"2025/12/01 15:15:00",0.0543,213,,0.1114,437,,0.0003,1,
1764603900,"2025/12/01 15:45:00",0.065,255,,0.1415,555,,0.0003,1,
1764605700,"2025/12/01 16:15:00",0.0719,282,,0.1099,431,,0.0003,1,
1764607500,"2025/12/01 16:45:00",0.0676,265,,0.1076,422,,0.0003,1,
1764609300,"2025/12/01 17:15:00",0.0681,267,,0.1191,467,,0.0003,1,
1764611100,"2025/12/01 17:45:00",0.0816,320,,0.1145,449,,0.0003,1,
1764612900,"2025/12/01 18:15:00",0.0836,328,,0.1265,496,,0.3114,1221,
1764614700,"2025/12/01 18:45:00",0.0456,179,,0.1051,412,,0.3116,1222,
1764616500,"2025/12/01 19:15:00",0.0538,211,,0.14,549,,0.3091,1212,
1764618300,"2025/12/01 19:45:00",0.0821,322,,0.1137,446,,0.3114,1221,
1764620100,"2025/12/01 20:15:00",0.0875,343,,0.09,353,,0.305,1196,
1764621900,"2025/12/01 20:45:00",0.0773,303,,0.1163,456,,0.1739,682,
1764623700,"2025/12/01 21:15:00",0.0592,232,,0.1216,477,,0.307,1204,
1764625500,"2025/12/01 21:45:00",0.0673,264,,0.1094,429,,0.065,255,
1764627300,"2025/12/01 22:15:00",0.0732,287,,0.1145,449,,0.0003,1,
1764629100,"2025/12/01 22:45:00",0.0788,309,,0.0089,35,,0.0003,1,
1764630900,"2025/12/01 23:15:00",0.0798,313,,0.0061,24,,0.0003,1,
1764632700,"2025/12/01 23:45:00",0.0806,316,,0.0061,24,,0.0003,1,
1764634500,"2025/12/02 00:15:00",0.076,298,,0.0064,25,,0.0003,1,
1764636300,"2025/12/02 00:45:00",0.0783,307,,0.0061,24,,0.0003,1,
1764638100,"2025/12/02 01:15:00",0.0831,326,,0.0061,24,,0.0003,1,
1764639900,"2025/12/02 01:45:00",0.0842,330,,0.0061,24,,0.0003,1,
1764641700,"2025/12/02 02:15:00",0.0862,338,,0.0061,24,,0.0003,1,
1764643500,"2025/12/02 02:45:00",0.0803,315,,0.0061,24,,0.0003,1,
1764645300,"2025/12/02 03:15:00",0.0923,362,,0.0061,24,,0.0003,1,
1764647100,"2025/12/02 03:45:00",0.091,357,,0.0061,24,,0.0003,1,
1764648900,"2025/12/02 04:15:00",0.0951,373,,0.0061,24,,0.0003,1,
1764650700,"2025/12/02 04:45:00",0.0903,354,,0.0061,24,,0.0003,1,
1764652500,"2025/12/02 05:15:00",0.0959,376,,0.0059,23,,0.2211,867,
1764654300,"2025/12/02 05:45:00",0.09,353,,0.0061,24,,0.0003,1,
1764656100,"2025/12/02 06:15:00",0.0984,386,,0.0059,23,,0.0003,1,
1764657900,"2025/12/02 06:45:00",0.1028,403,,0.0061,24,,0.0003,1,
1764659700,"2025/12/02 07:15:00",0.1038,407,,0.0059,23,,0.0003,1,
1764661500,"2025/12/02 07:45:00",0.0928,364,,0.0061,24,,0.0003,1,
1764663300,"2025/12/02 08:15:00",0.1023,401,,0.2094,821,,0.1584,621,
1764665100,"2025/12/02 08:45:00",0.0966,379,,0.155,608,,0.0003,1,
1764666900,"2025/12/02 09:15:00",0.0842,330,,0.1974,774,,0.0082,32,
1764668700,"2025/12/02 09:45:00",0.0757,297,,0.1788,701,,0.0082,32,
1764670500,"2025/12/02 10:15:00",0.0796,312,,0.126,494,,0.0071,28,
1764672300,"2025/12/02 10:45:00",0.0785,308,,0.1731,679,,0.0003,1,
1764674100,"2025/12/02 11:15:00",0.0831,326,,0.1216,477,,0.0056,22,
1764675900,"2025/12/02 11:45:00",0.0645,253,,0.1545,606,,0.0082,32,
