"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Rooms ACs",NLPC,,"Ground Floor AC",NLY,,"Water Heater",NLPO,,"Legrand Gateway Gamil",NLG,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1764548100,"2025/12/01 00:15:00",0.0826,324,,0.0061,24,,0.0003,1,,0.1303,511,
1764549900,"2025/12/01 00:45:00",0.0949,372,,0.0061,24,,0.0003,1,,0.1357,532,
1764551700,"2025/12/01 01:15:00",0.0872,342,,0.0061,24,,0.0003,1,,0.1336,524,
1764553500,"2025/12/01 01:45:00",0.0829,325,,0.0064,25,,0.0003,1,,0.1237,485,
1764555300,"2025/12/01 02:15:00",0.0903,354,,0.0061,24,,0.0003,1,,0.1349,529,
1764557100,"2025/12/01 02:45:00",0.0857,336,,0.0061,24,,0.0003,1,,0.1252,491,
1764558900,"2025/12/01 03:15:00",0.1017,399,,0.0061,24,,0.0003,1,,0.1438,564,
1764560700,"2025/12/01 03:45:00",0.091,357,,0.0061,24,,0.0003,1,,0.1329,521,
1764562500,"2025/12/01 04:15:00",0.0857,336,,0.0061,24,,0.0003,1,,0.1272,499,
1764564300,"2025/12/01 04:45:00",0.0979,384,,0.0061,24,,0.0003,1,,0.1405,551,
1764566100,"2025/12/01 05:15:00",0.0857,336,,0.0059,23,,0.3198,1254,,0.446,1749,
1764567900,"2025/12/01 05:45:00",0.1074,421,,0.0059,23,,0.3019,1184,,0.4547,1783,
1764569700,"2025/12/01 06:15:00",0.101,396,,0.0059,23,,0.0003,1,,0.1395,547,
1764571500,"2025/12/01 06:45:00",0.101,396,,0.0061,24,,0.0003,1,,0.141,553,
1764573300,"2025/12/01 07:15:00",0.1028,403,,0.0061,24,,0.0003,1,,0.1405,551,
1764575100,"2025/12/01 07:45:00",0.0903,354,,0.2614,1025,,0.0003,1,,0.3884,1523,
1764576900,"2025/12/01 08:15:00",0.0903,354,,0.2688,1054,,0.0003,1,,0.422,1655,
1764578700,"2025/12/01 08:45:00",0.0931,365,,0.1464,574,,0.0003,1,,0.3045,1194,
1764580500,"2025/12/01 09:15:00",0.0857,336,,0.2145,841,,0.0003,1,,0.3675,1441,
1764582300,"2025/12/01 09:45:00",0.1173,460,,0.2415,947,,0.0066,26,,0.4437,1740,
1764584100,"2025/12/01 10:15:00",0.0676,265,,0.1262,495,,0.0069,27,,0.3325,1304,
1764585900,"2025/12/01 10:45:00",0.075,294,,0.1334,523,,0.0102,40,,0.3052,1197,
1764587700,"2025/12/01 11:15:00",0.0581,228,,0.1275,500,,0.0094,37,,0.2769,1086,
1764589500,"2025/12/01 11:45:00",0.0558,219,,0.1683,660,,0.0089,35,,0.3501,1373,
1764591300,"2025/12/01 12:15:00",0.0592,232,,0.1428,560,,0.0089,35,,0.2953,1158,
1764593100,"2025/12/01 12:45:00",0.0462,181,,0.1079,423,,0.0087,34,,0.2667,1046,
1764594900,"2025/12/01 13:15:00",0.0551,216,,0.1038,407,,0.0089,35,,0.33,1294,
1764596700,"2025/12/01 13:45:00",0.0622,244,,0.1107,434,,0.0041,16,,0.2598,1019,
1764598500,"2025/12/01 14:15:00",0.0561,220,,0.1007,395,,0.0082,32,,0.3024,1186,
1764600300,"2025/12/01 14:45:00",0.0609,239,,0.1084,425,,0.0003,1,,0.396,1553,
1764602100,"2025/12/01 15:15:00",0.0543,213,,0.1114,437,,0.0003,1,,0.305,1196,
1764603900,"2025/12/01 15:45:00",0.065,255,,0.1415,555,,0.0003,1,,0.3251,1275,
1764605700,"2025/12/01 16:15:00",0.0719,282,,0.1099,431,,0.0003,1,,0.2632,1032,
1764607500,"2025/12/01 16:45:00",0.0676,265,,0.1076,422,,0.0003,1,,0.2341,918,
1764609300,"2025/12/01 17:15:00",0.0681,267,,0.1191,467,,0.0003,1,,0.3338,1309,
1764611100,"2025/12/01 17:45:00",0.0816,320,,0.1145,449,,0.0003,1,,0.3585,1406,
1764612900,"2025/12/01 18:15:00",0.0836,328,,0.1265,496,,0.3114,1221,,0.6913,2711,
