"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Legrand Gateway Gamil",NLG,,"Water Heater",NLPO,,"Ground Floor AC",NLY,,"Rooms ACs",NLPC,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1751325300,"2025/07/01 00:15:00",0.12,494,,0.0002,1,,0.0036,15,,0.0005,2,
1751327100,"2025/07/01 00:45:00",0.0982,404,,0.0002,1,,0.0053,22,,0.0066,27,
1751328900,"2025/07/01 01:15:00",0.0756,311,,0.0002,1,,0.0053,22,,0.0066,27,
1751330700,"2025/07/01 01:45:00",0.0838,345,,0.0002,1,,0.0053,22,,0.0148,61,
1751332500,"2025/07/01 02:15:00",0.122,502,,0.0002,1,,0.0053,22,,0.0148,61,
1751334300,"2025/07/01 02:45:00",0.1298,534,,0.0002,1,,0.0053,22,,0.0158,65,
1751336100,"2025/07/01 03:15:00",0.0863,355,,0.0002,1,,0.0053,22,,0.0024,10,
1751337900,"2025/07/01 03:45:00",0.0851,350,,0.0002,1,,0.0053,22,,0.0015,6,
1751339700,"2025/07/01 04:15:00",0.0882,363,,0.0002,1,,0.0053,22,,0.0015,6,
1751341500,"2025/07/01 04:45:00",0.0634,261,,0.0002,1,,0.0053,22,,0.0015,6,
1751343300,"2025/07/01 05:15:00",0.0693,285,,0.0002,1,,0.0056,23,,0.0015,6,
1751345100,"2025/07/01 05:45:00",0.0661,272,,0.0002,1,,0.0056,23,,0.0015,6,
1751346900,"2025/07/01 06:15:00",0.0654,269,,0.0002,1,,0.0056,23,,0.0015,6,
1751348700,"2025/07/01 06:45:00",0.0661,272,,0.0002,1,,0.0056,23,,0.0015,6,
1751350500,"2025/07/01 07:15:00",0.0688,283,,0.0002,1,,0.0056,23,,0.0015,6,
1751352300,"2025/07/01 07:45:00",0.2479,1020,,0.0002,1,,0.0053,22,,0.0015,6,
1751354100,"2025/07/01 08:15:00",0.1786,735,,0.0002,1,,0.0056,23,,0.0015,6,
1751355900,"2025/07/01 08:45:00",0.3961,1630,,0.1162,478,,0.0053,22,,0.0015,6,
1751357700,"2025/07/01 09:15:00",0.2649,1090,,0.0394,162,,0.0056,23,,0.0015,6,
1751359500,"2025/07/01 09:45:00",0.114,469,,0.0078,32,,0.0056,23,,0.0015,6,
1751361300,"2025/07/01 10:15:00",0.233,959,,0.0078,32,,0.0056,23,,0.0015,6,
1751363100,"2025/07/01 10:45:00",0.1108,456,,0.008,33,,0.0053,22,,0.0015,6,
1751364900,"2025/07/01 11:15:00",0.2629,1082,,0.008,33,,0.0053,22,,0.0015,6,
1751366700,"2025/07/01 11:45:00",0.2437,1003,,0.008,33,,0.0056,23,,0.0015,6,
1751368500,"2025/07/01 12:15:00",0.114,469,,0.008,33,,0.0053,22,,0.0015,6,
1751370300,"2025/07/01 12:45:00",0.2663,1096,,0.0078,32,,0.0053,22,,0.0015,6,
1751372100,"2025/07/01 13:15:00",0.3203,1318,,0.008,33,,0.0056,23,,0.0015,6,
1751373900,"2025/07/01 13:45:00",0.3526,1451,,0.0078,32,,0.0056,23,,0.0015,6,
