"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Legrand Gateway Gamil",NLG,,"Ground Floor AC",NLY,,"Rooms ACs",NLPC,,"Water Heater",NLPO,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1761956100,"2025/11/01 00:15:00",0.0428,168,,0.0066,26,,0.0015,6,,0.0003,1,
1761957900,"2025/11/01 00:45:00",0.0462,181,,0.0066,26,,0.0015,6,,0.0003,1,
1761959700,"2025/11/01 01:15:00",0.0403,158,,0.0066,26,,0.0015,6,,0.0003,1,
1761961500,"2025/11/01 01:45:00",0.0428,168,,0.0066,26,,0.0015,6,,0.0003,1,
1761963300,"2025/11/01 02:15:00",0.0408,160,,0.0066,26,,0.0015,6,,0.0003,1,
1761965100,"2025/11/01 02:45:00",0.0423,166,,0.0066,26,,0.0015,6,,0.0003,1,
1761966900,"2025/11/01 03:15:00",0.0416,163,,0.0066,26,,0.0015,6,,0.0003,1,
1761968700,"2025/11/01 03:45:00",0.0421,165,,0.0066,26,,0.0015,6,,0.0003,1,
1761970500,"2025/11/01 04:15:00",0.319,1251,,0.0064,25,,0.0015,6,,0.2751,1079,
1761972300,"2025/11/01 04:45:00",0.0561,220,,0.0066,26,,0.0015,6,,0.0135,53,
1761974100,"2025/11/01 05:15:00",0.0398,156,,0.0066,26,,0.0015,6,,0.0003,1,
1761975900,"2025/11/01 05:45:00",0.0431,169,,0.0066,26,,0.0015,6,,0.0003,1,
1761977700,"2025/11/01 06:15:00",0.0393,154,,0.0066,26,,0.0015,6,,0.0003,1,
1761979500,"2025/11/01 06:45:00",0.0423,166,,0.0066,26,,0.0015,6,,0.0003,1,
1761981300,"2025/11/01 07:15:00",0.0383,150,,0.0066,26,,0.0015,6,,0.0003,1,
1761983100,"2025/11/01 07:45:00",0.0421,165,,0.0066,26,,0.0015,6,,0.0003,1,
1761984900,"2025/11/01 08:15:00",0.0383,150,,0.0066,26,,0.0015,6,,0.0003,1,
1761986700,"2025/11/01 08:45:00",0.0413,162,,0.0066,26,,0.0015,6,,0.0003,1,
1761988500,"2025/11/01 09:15:00",0.0574,225,,0.0186,73,,0.0015,6,,0.0003,1,
1761990300,"2025/11/01 09:45:00",0.2846,1116,,0.1675,657,,0.0015,6,,0.0031,12,
1761992100,"2025/11/01 10:15:00",0.3213,1260,,0.1178,462,,0.0015,6,,0.0097,38,
1761993900,"2025/11/01 10:45:00",0.1849,725,,0.1048,411,,0.0015,6,,0.0087,34,
1761995700,"2025/11/01 11:15:00",0.2637,1034,,0.0658,258,,0.0015,6,,0.0064,25,
1761997500,"2025/11/01 11:45:00",0.2509,984,,0.0301,118,,0.0015,6,,0.0105,41,
1761999300,"2025/11/01 12:15:00",0.2387,936,,0.1074,421,,0.0015,6,,0.0087,34,
1762001100,"2025/11/01 12:45:00",0.2647,1038,,0.0301,118,,0.0015,6,,0.0089,35,
1762002900,"2025/11/01 13:15:00",0.1186,465,,0.0306,120,,0.0015,6,,0.0069,27,
1762004700,"2025/11/01 13:45:00",0.1808,709,,0.1155,453,,0.0015,6,,0.0107,42,
1762006500,"2025/11/01 14:15:00",0.1046,410,,0.0385,151,,0.0015,6,,0.0051,20,
1762008300,"2025/11/01 14:45:00",0.2086,818,,0.1005,394,,0.0015,6,,0.0003,1,
1762010100,"2025/11/01 15:15:00",0.1046,410,,0.0291,114,,0.0015,6,,0.0003,1,
1762011900,"2025/11/01 15:45:00",0.1864,731,,0.0301,118,,0.0015,6,,0.0003,1,
1762013700,"2025/11/01 16:15:00",0.1655,649,,0.0301,118,,0.0015,6,,0.0003,1,
1762015500,"2025/11/01 16:45:00",0.2372,930,,0.0293,115,,0.0015,6,,0.0003,1,
