"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Legrand Gateway Gamil",NLG,,"Ground Floor AC",NLY,,"Rooms ACs",NLPC,,"Water Heater",NLPO,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1759274100,"2025/10/01 00:15:00",0.0451,177,,0.0056,22,,0.0015,6,,0.0003,1,
1759275900,"2025/10/01 00:45:00",0.0393,154,,0.0056,22,,0.0015,6,,0.0003,1,
1759277700,"2025/10/01 01:15:00",0.0444,174,,0.0056,22,,0.0015,6,,0.0003,1,
1759279500,"2025/10/01 01:45:00",0.0395,155,,0.0056,22,,0.0015,6,,0.0003,1,
1759281300,"2025/10/01 02:15:00",0.0431,169,,0.0056,22,,0.0015,6,,0.0003,1,
1759283100,"2025/10/01 02:45:00",0.0398,156,,0.0056,22,,0.0015,6,,0.0003,1,
1759284900,"2025/10/01 03:15:00",0.0413,162,,0.0056,22,,0.0015,6,,0.0003,1,
1759286700,"2025/10/01 03:45:00",0.039,153,,0.0056,22,,0.0015,6,,0.0003,1,
1759288500,"2025/10/01 04:15:00",0.0418,164,,0.0061,24,,0.0015,6,,0.0003,1,
1759290300,"2025/10/01 04:45:00",0.0431,169,,0.0059,23,,0.0015,6,,0.0003,1,
1759292100,"2025/10/01 05:15:00",0.0408,160,,0.0059,23,,0.0015,6,,0.0003,1,
1759293900,"2025/10/01 05:45:00",0.0405,159,,0.0061,24,,0.0015,6,,0.0003,1,
1759295700,"2025/10/01 06:15:00",0.0403,158,,0.0059,23,,0.0015,6,,0.0003,1,
1759297500,"2025/10/01 06:45:00",0.0428,168,,0.0061,24,,0.0015,6,,0.0003,1,
1759299300,"2025/10/01 07:15:00",0.0383,150,,0.0059,23,,0.0015,6,,0.0003,1,
1759301100,"2025/10/01 07:45:00",0.0411,161,,0.0059,23,,0.0015,6,,0.0003,1,
1759302900,"2025/10/01 08:15:00",0.0451,177,,0.0061,24,,0.0015,6,,0.0003,1,
1759304700,"2025/10/01 08:45:00",0.0474,186,,0.0061,24,,0.0015,6,,0.0003,1,
1759306500,"2025/10/01 09:15:00",0.0479,188,,0.0061,24,,0.0015,6,,0.011,43,
1759308300,"2025/10/01 09:45:00",0.0602,236,,0.0061,24,,0.0015,6,,0.0087,34,
1759310100,"2025/10/01 10:15:00",0.065,255,,0.0061,24,,0.0015,6,,0.0089,35,
1759311900,"2025/10/01 10:45:00",0.0556,218,,0.0061,24,,0.0015,6,,0.0089,35,
1759313700,"2025/10/01 11:15:00",0.064,251,,0.0061,24,,0.0015,6,,0.0089,35,
1759315500,"2025/10/01 11:45:00",0.0915,359,,0.0061,24,,0.0015,6,,0.0089,35,
1759317300,"2025/10/01 12:15:00",0.0803,315,,0.0061,24,,0.0015,6,,0.0082,32,
1759319100,"2025/10/01 12:45:00",0.125,490,,0.0061,24,,0.0015,6,,0.0092,36,
1759320900,"2025/10/01 13:15:00",0.0553,217,,0.0061,24,,0.0015,6,,0.0089,35,
1759322700,"2025/10/01 13:45:00",0.1913,750,,0.0061,24,,0.0015,6,,0.0089,35,
1759324500,"2025/10/01 14:15:00",0.052,204,,0.0061,24,,0.0015,6,,0.0087,34,
1759326300,"2025/10/01 14:45:00",0.1405,551,,0.0061,24,,0.0015,6,,0.0087,34,
1759328100,"2025/10/01 15:15:00",0.117,459,,0.0061,24,,0.0015,6,,0.0077,30,
1759329900,"2025/10/01 15:45:00",0.1117,438,,0.0061,24,,0.0015,6,,0.0059,23,
1759331700,"2025/10/01 16:15:00",0.1204,472,,0.0061,24,,0.0015,6,,0.0051,20,
1759333500,"2025/10/01 16:45:00",0.1066,418,,0.0061,24,,0.0015,6,,0.0003,1,
