"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Legrand Gateway Gamil",NLG,,"Ground Floor AC",NLY,,"Rooms ACs",NLPC,,"Water Heater",NLPO,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1756682100,"2025/09/01 00:15:00",0.0375,147,,0.0059,23,,0.0015,6,,0.0003,1,
1756683900,"2025/09/01 00:45:00",0.0426,167,,0.0059,23,,0.0015,6,,0.0003,1,
1756685700,"2025/09/01 01:15:00",0.0411,161,,0.0061,24,,0.0015,6,,0.0003,1,
1756687500,"2025/09/01 01:45:00",0.0416,163,,0.0061,24,,0.0015,6,,0.0003,1,
1756689300,"2025/09/01 02:15:00",0.037,145,,0.0061,24,,0.0015,6,,0.0003,1,
1756691100,"2025/09/01 02:45:00",0.0423,166,,0.0059,23,,0.0015,6,,0.0003,1,
1756692900,"2025/09/01 03:15:00",0.0354,139,,0.0061,24,,0.0015,6,,0.0003,1,
1756694700,"2025/09/01 03:45:00",0.0423,166,,0.0061,24,,0.0015,6,,0.0003,1,
1756696500,"2025/09/01 04:15:00",0.0377,148,,0.0059,23,,0.0015,6,,0.0003,1,
1756698300,"2025/09/01 04:45:00",0.04,157,,0.0059,23,,0.0015,6,,0.0003,1,
1756700100,"2025/09/01 05:15:00",0.2948,1156,,0.0059,23,,0.0015,6,,0.2532,993,
1756701900,"2025/09/01 05:45:00",0.0421,165,,0.0061,24,,0.0015,6,,0.0003,1,
1756703700,"2025/09/01 06:15:00",0.0357,140,,0.0059,23,,0.0015,6,,0.0003,1,
1756705500,"2025/09/01 06:45:00",0.0418,164,,0.0061,24,,0.0015,6,,0.0003,1,
1756707300,"2025/09/01 07:15:00",0.0357,140,,0.0059,23,,0.0015,6,,0.0003,1,
1756709100,"2025/09/01 07:45:00",0.0408,160,,0.0061,24,,0.0015,6,,0.0003,1,
1756710900,"2025/09/01 08:15:00",0.0372,146,,0.0061,24,,0.0015,6,,0.0003,1,
1756712700,"2025/09/01 08:45:00",0.0477,187,,0.0061,24,,0.0015,6,,0.0094,37,
1756714500,"2025/09/01 09:15:00",0.1066,418,,0.0061,24,,0.0015,6,,0.052,204,
1756716300,"2025/09/01 09:45:00",0.0525,206,,0.0059,23,,0.0015,6,,0.0008,3,
1756718100,"2025/09/01 10:15:00",0.0564,221,,0.0059,23,,0.0015,6,,0.0003,1,
1756719900,"2025/09/01 10:45:00",0.0592,232,,0.0061,24,,0.0015,6,,0.0089,35,
1756721700,"2025/09/01 11:15:00",0.0551,216,,0.0061,24,,0.0015,6,,0.0089,35,
1756723500,"2025/09/01 11:45:00",0.0474,186,,0.0059,23,,0.0015,6,,0.0082,32,
1756725300,"2025/09/01 12:15:00",0.0436,171,,0.0059,23,,0.0015,6,,0.0069,27,
1756727100,"2025/09/01 12:45:00",0.049,192,,0.0061,24,,0.0015,6,,0.0099,39,
1756728900,"2025/09/01 13:15:00",0.0477,187,,0.0061,24,,0.0015,6,,0.0092,36,
1756730700,"2025/09/01 13:45:00",0.0467,183,,0.0061,24,,0.0015,6,,0.0089,35,
1756732500,"2025/09/01 14:15:00",0.0492,193,,0.0061,24,,0.0015,6,,0.0089,35,
1756734300,"2025/09/01 14:45:00",0.0441,173,,0.0061,24,,0.0015,6,,0.0089,35,
1756736100,"2025/09/01 15:15:00",0.0497,195,,0.0061,24,,0.0015,6,,0.0089,35,
1756737900,"2025/09/01 15:45:00",0.0449,176,,0.0061,24,,0.0015,6,,0.0074,29,
1756739700,"2025/09/01 16:15:00",0.0477,187,,0.0061,24,,0.0015,6,,0.0089,35,
1756741500,"2025/09/01 16:45:00",0.0426,167,,0.0061,24,,0.0015,6,,0.0003,1,
