"Home name",Long,Lat
Gamil,-8.5943948126722,41.51918260056

,,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",,"Product name","Product type",
,,"Rooms ACs",NLPC,,"Ground Floor AC",NLY,,"Water Heater",NLPO,,"Legrand Gateway Gamil",NLG,

Timestamp,"Timezone : Europe/Lisbon","Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",,"Standard Tariff Bill","Standard Tariff Wh",
1769904900,"2026/02/01 00:15:00",0.0531,303,,0,0,,0.0002,1,,0.1602,914,
1769906700,"2026/02/01 00:45:00",0.0605,345,,0,0,,0.0002,1,,0.1644,938,
1769908500,"2026/02/01 01:15:00",0.0598,341,,0,0,,0.0002,1,,0.1653,943,
1769910300,"2026/02/01 01:45:00",0.0663,378,,0,0,,0.0002,1,,0.1714,978,
1769912100,"2026/02/01 02:15:00",0.064,365,,0,0,,0.0002,1,,0.1665,950,
1769913900,"2026/02/01 02:45:00",0.061,348,,0,0,,0.0002,1,,0.1597,911,
1769915700,"2026/02/01 03:15:00",0.0685,391,,0,0,,0.0002,1,,0.1692,965,
1769917500,"2026/02/01 03:45:00",0.0619,353,,0,0,,0.0002,1,,0.1625,927,
1769919300,"2026/02/01 04:15:00",0.0605,345,,0,0,,0.0002,1,,0.1606,916,
1769921100,"2026/02/01 04:45:00",0.0571,326,,0,0,,0.0002,1,,0.1604,915,
1769922900,"2026/02/01 05:15:00",0.0575,328,,0,0,,0.0002,1,,0.1578,900,
1769924700,"2026/02/01 05:45:00",0.0571,326,,0,0,,0.2146,1224,,0.3732,2129,
1769926500,"2026/02/01 06:15:00",0.0699,399,,0,0,,0.0238,136,,0.1906,1087,
1769928300,"2026/02/01 06:45:00",0.0593,338,,0,0,,0.0002,1,,0.1595,910,
1769930100,"2026/02/01 07:15:00",0.0642,366,,0,0,,0.0002,1,,0.1602,914,
1769931900,"2026/02/01 07:45:00",0.0573,327,,0,0,,0.0002,1,,0.1585,904,
1769933700,"2026/02/01 08:15:00",0.0624,356,,0,0,,0.0002,1,,0.1579,901,
1769935500,"2026/02/01 08:45:00",0.0554,316,,0,0,,0.0002,1,,0.155,884,
1769937300,"2026/02/01 09:15:00",0.0617,352,,0,0,,0.0002,1,,0.1641,936,
1769939100,"2026/02/01 09:45:00",0.0487,278,,0,0,,0.0002,1,,0.1998,1140,
1769940900,"2026/02/01 10:15:00",0.071,405,,0,0,,0.0002,1,,0.2994,1708,
1769942700,"2026/02/01 10:45:00",0.0584,333,,0,0,,0.0002,1,,0.2665,1520,
1769944500,"2026/02/01 11:15:00",0.061,348,,0,0,,0.0002,1,,0.2801,1598,
1769946300,"2026/02/01 11:45:00",0.0514,293,,0,0,,0.0002,1,,0.2861,1632,
1769948100,"2026/02/01 12:15:00",0.0428,244,,0,0,,0.0002,1,,0.264,1506,
1769949900,"2026/02/01 12:45:00",0.0536,306,,0,0,,0.004,23,,0.2775,1583,
1769951700,"2026/02/01 13:15:00",0.0529,302,,0,0,,0.0002,1,,0.2242,1279,
1769953500,"2026/02/01 13:45:00",0.0556,317,,0,0,,0.0002,1,,0.2628,1499,
1769955300,"2026/02/01 14:15:00",0.0598,341,,0,0,,0.0002,1,,0.2251,1284,
1769957100,"2026/02/01 14:45:00",0.0538,307,,0,0,,0.0002,1,,0.2682,1530,
1769958900,"2026/02/01 15:15:00",0.0543,310,,0,0,,0.0002,1,,0.2189,1249,
1769960700,"2026/02/01 15:45:00",0.0578,330,,0,0,,0.0002,1,,0.2673,1525,
1769962500,"2026/02/01 16:15:00",0.0473,270,,0,0,,0.0002,1,,0.2151,1227,
1769964300,"2026/02/01 16:45:00",0.0612,349,,0,0,,0.0002,1,,0.2631,1501,
1769966100,"2026/02/01 17:15:00",0.0524,299,,0,0,,0.0002,1,,0.2272,1296,
1769967900,"2026/02/01 17:45:00",0.061,348,,0,0,,0.2021,1153,,0.4582,2614,
1769969700,"2026/02/01 18:15:00",0.0542,309,,0,0,,0.2168,1237,,0.4547,2594,
1769971500,"2026/02/01 18:45:00",0.0549,313,,0,0,,0.2139,1220,,0.4651,2653,
1769973300,"2026/02/01 19:15:00",0.047,268,,0,0,,0.2042,1165,,0.4337,2474,
1769975100,"2026/02/01 19:45:00",0.0624,356,,0,0,,0.1061,605,,0.3531,2014,
